Package Variant,Practical ROP Exploit,ASLR-Proof Practical ROP Exploit,Simple Turing Completeness
O1,11 of 11,35 of 35,16 of 17
O1_fcse_follow_jumps,11 (0),35 (0),17 (-1)
O1_foptimize_sibling_calls,10 (1),34 (1),17 (-1)
O1_fpeephole2,11 (0),35 (0),17 (-1)
O1_fstore_merging,11 (0),35 (0),17 (-1)
