Package Variant,Total Gadgets,ROP Gadgets,JOP Gadgets,COP Gadgets,Special Purpose Gadgets
O1,8844,3341,1454,3845,204
O1_fcse_follow_jumps,8791 (53; 0.6%),3296 (45; 1.3%),1449 (5; 0.3%),3826 (19; 0.5%),220 (-16; -7.8%)
O1_foptimize_sibling_calls,8786 (58; 0.7%),3197 (144; 4.3%),1588 (-134; -9.2%),3756 (89; 2.3%),245 (-41; -20.1%)
O1_fpeephole2,8849 (-5; -0.1%),3337 (4; 0.1%),1393 (61; 4.2%),3859 (-14; -0.4%),260 (-56; -27.5%)
O1_fstore_merging,8752 (92; 1.0%),3317 (24; 0.7%),1420 (34; 2.3%),3808 (37; 1.0%),207 (-3; -1.5%)
