Special Purpose Gadget Counts + Introduction
Package Variant,Syscall Gadgets,JOP Dispatcher Gadgets,JOP Dataloader Gadgets,JOP Initializers,JOP Trampolines,COP Dispatcher Gadgets,COP Dataloader Gadgets,COP Initializers,COP Strong Trampoline Gadgets,COP Intra-stack Pivot Gadgets
O1,49,24,18,0,0,23,51,0,0,39
O1_fcse_follow_jumps,52 (-3; -6.1%),24 (0; 0.0%),23 (-5; -27.8%),0 (0; 0.0%),2 (-2; 0.0%),28 (-5; -21.7%),54 (-3; -5.9%),0 (0; 0.0%),0 (0; 0.0%),37 (2; 5.1%)
O1_foptimize_sibling_calls,50 (-1; -2.0%),18 (6; 25.0%),63 (-45; -250.0%),0 (0; 0.0%),2 (-2; 0.0%),31 (-8; -34.8%),67 (-16; -31.4%),0 (0; 0.0%),0 (0; 0.0%),14 (25; 64.1%)
O1_fpeephole2,69 (-20; -40.8%),29 (-5; -20.8%),28 (-10; -55.6%),0 (0; 0.0%),1 (-1; 0.0%),33 (-10; -43.5%),61 (-10; -19.6%),0 (0; 0.0%),0 (0; 0.0%),39 (0; 0.0%)
O1_fstore_merging,49 (0; 0.0%),16 (8; 33.3%),24 (-6; -33.3%),0 (0; 0.0%),3 (-3; 0.0%),25 (-2; -8.7%),49 (2; 3.9%),0 (0; 0.0%),0 (0; 0.0%),41 (-2; -5.1%)
