Special Purpose Gadget Counts + Introduction
Package Variant,Syscall Gadgets,JOP Dispatcher Gadgets,JOP Dataloader Gadgets,JOP Initializers,JOP Trampolines,COP Dispatcher Gadgets,COP Dataloader Gadgets,COP Initializers,COP Strong Trampoline Gadgets,COP Intra-stack Pivot Gadgets
O0,84,8,17,0,0,43,22,0,0,2
O1,87 (-3; -3.6%),22 (-14; -175.0%),20 (-3; -17.6%),0 (0; 0.0%),1 (-1; 0.0%),13 (30; 69.8%),16 (6; 27.3%),0 (0; 0.0%),0 (0; 0.0%),0 (2; 100.0%)
O2,82 (2; 2.4%),20 (-12; -150.0%),22 (-5; -29.4%),0 (0; 0.0%),2 (-2; 0.0%),24 (19; 44.2%),9 (13; 59.1%),0 (0; 0.0%),0 (0; 0.0%),6 (-4; -200.0%)
O3,87 (-3; -3.6%),23 (-15; -187.5%),31 (-14; -82.4%),0 (0; 0.0%),8 (-8; 0.0%),32 (11; 25.6%),26 (-4; -18.2%),0 (0; 0.0%),0 (0; 0.0%),3 (-1; -50.0%)
