Package Variant,Total Gadgets,ROP Gadgets,JOP Gadgets,COP Gadgets,Special Purpose Gadgets
O0,307,211,34,61,1
O1,301 (6; 2.0%),229 (-18; -8.5%),22 (12; 35.3%),49 (12; 19.7%),1 (0; 0.0%)
O2,319 (-12; -3.9%),223 (-12; -5.7%),8 (26; 76.5%),85 (-24; -39.3%),3 (-2; -200.0%)
O3,410 (-103; -33.6%),258 (-47; -22.3%),36 (-2; -5.9%),112 (-51; -83.6%),4 (-3; -300.0%)
