Package Variant,Total Gadgets,ROP Gadgets,JOP Gadgets,COP Gadgets,Special Purpose Gadgets
O1,5596,2963,1289,1136,208
O1_foptimize_sibling_calls,5596 (0; 0.0%),2963 (0; 0.0%),1289 (0; 0.0%),1136 (0; 0.0%),208 (0; 0.0%)
