Package Variant,Total Gadgets,Total Introduction Rate,ROP Gadgets,ROP Introduction Rate,JOP Gadgets,JOP Introduction Rate,COP Gadgets,COP Introduction Rate
O1,14588, ,9705, ,2056, ,2645
O1_foptimize_sibling_calls,14588,0.0%,9705,0.0%,2056,0.0%,2645,0.0%
