Package Variant,Total Gadgets,ROP Gadgets,JOP Gadgets,COP Gadgets,Special Purpose Gadgets
O1,14588,9705,2056,2645,182
O1_foptimize_sibling_calls,14588 (0; 0.0%),9705 (0; 0.0%),2056 (0; 0.0%),2645 (0; 0.0%),182 (0; 0.0%)
