Package Variant,Total Gadgets,ROP Gadgets,JOP Gadgets,COP Gadgets,Special Purpose Gadgets
O1,111,84,19,5,3
O1_foptimize_sibling_calls,111 (0; 0.0%),84 (0; 0.0%),19 (0; 0.0%),5 (0; 0.0%),3 (0; 0.0%)
