Package Variant,Quality ROP Gadgets,Average ROP Gadget Quality,Quality JOP Gadgets,Average JOP Gadget Quality,Quality COP Gadgets,Average COP Gadget Quality
O0,4920,1.9354674796747968,2607,2.0771001150747987,2241,1.8132530120481927
O0_fomit_frame_pointer,4570 (350),2.110612691466083 (-0.1751452117912864),2534 (73),1.9704025256511444 (0.10669758942365437),2242 (-1),1.741971454058876 (0.07128155798931668)
O0_tailcallelim,6011 (-1091),1.9589086674430212 (-0.023441187768224347),3546 (-939),2.617738296672307 (-0.5406381815975081),2819 (-578),2.0102873359347284 (-0.19703432388653574)
