Package Variant,Practical ROP Exploit,ASLR-Proof Practical ROP Exploit,Simple Turing Completeness
O0,9 of 11,32 of 35,16 of 17
O0_fomit_frame_pointer,9 (0),32 (0),17 (-1)
O0_tailcallelim,11 (-2),35 (-3),17 (-1)
