Special Purpose Gadget Counts + Introduction
Package Variant,Syscall Gadgets,JOP Dispatcher Gadgets,JOP Dataloader Gadgets,JOP Initializers,JOP Trampolines,COP Dispatcher Gadgets,COP Dataloader Gadgets,COP Initializers,COP Strong Trampoline Gadgets,COP Intra-stack Pivot Gadgets
O0,14,12,23,0,1,9,24,0,0,3
O0_fomit_frame_pointer,27 (-13; -92.9%),16 (-4; -33.3%),40 (-17; -73.9%),0 (0; 0.0%),3 (-2; -200.0%),14 (-5; -55.6%),26 (-2; -8.3%),0 (0; 0.0%),0 (0; 0.0%),2 (1; 33.3%)
O0_tailcallelim,17 (-3; -21.4%),55 (-43; -358.3%),47 (-24; -104.3%),0 (0; 0.0%),15 (-14; -1400.0%),64 (-55; -611.1%),22 (2; 8.3%),0 (0; 0.0%),0 (0; 0.0%),9 (-6; -200.0%)
