Package Variant,Quality ROP Gadgets,Average ROP Gadget Quality,Quality JOP Gadgets,Average JOP Gadget Quality,Quality COP Gadgets,Average COP Gadget Quality
O0,268,1.5559701492537314,50,1.64,64,1.90625
O0-fbranch-count-reg,267 (1),1.5617977528089888 (-0.005827603555257355),45 (5),1.6111111111111112 (0.028888888888888742),68 (-4),1.8161764705882353 (0.09007352941176472)
O0-fcombine-stack-adjustments,266 (2),1.5601503759398496 (-0.004180226686118171),53 (-3),1.5377358490566038 (0.10226415094339614),63 (1),1.7857142857142858 (0.12053571428571419)
O0-fcompare-elim,266 (2),1.5601503759398496 (-0.004180226686118171),39 (11),1.6025641025641026 (0.03743589743589726),68 (-4),1.963235294117647 (-0.05698529411764697)
O0-fcprop-registers,266 (2),1.5601503759398496 (-0.004180226686118171),39 (11),1.6025641025641026 (0.03743589743589726),68 (-4),1.963235294117647 (-0.05698529411764697)
O0-fdefer-pop,267 (1),1.5617977528089888 (-0.005827603555257355),34 (16),1.2058823529411764 (0.4341176470588235),64 (0),1.75 (0.15625)
O0-fforward-propagate,267 (1),1.5617977528089888 (-0.005827603555257355),45 (5),1.6111111111111112 (0.028888888888888742),68 (-4),1.8161764705882353 (0.09007352941176472)
O0-fguess-branch-probability,266 (2),1.5601503759398496 (-0.004180226686118171),53 (-3),1.5377358490566038 (0.10226415094339614),63 (1),1.7857142857142858 (0.12053571428571419)
O0-fif-conversion,266 (2),1.5601503759398496 (-0.004180226686118171),39 (11),1.6025641025641026 (0.03743589743589726),68 (-4),1.963235294117647 (-0.05698529411764697)
O0-fif-conversion2,266 (2),1.5601503759398496 (-0.004180226686118171),39 (11),1.6025641025641026 (0.03743589743589726),68 (-4),1.963235294117647 (-0.05698529411764697)
O0-finline-functions-called-once,263 (5),1.553231939163498 (0.0027382100902333395),49 (1),1.510204081632653 (0.12979591836734694),74 (-10),2.108108108108108 (-0.2018581081081079)
O0-fipa-profile,267 (1),1.5617977528089888 (-0.005827603555257355),34 (16),1.2058823529411764 (0.4341176470588235),64 (0),1.75 (0.15625)
O0-fipa-pure-const,264 (4),1.5359848484848484 (0.019985300768883052),47 (3),1.1595744680851063 (0.48042553191489357),67 (-3),1.9776119402985075 (-0.07136194029850751)
O0-fipa-reference,266 (2),1.5601503759398496 (-0.004180226686118171),39 (11),1.6025641025641026 (0.03743589743589726),68 (-4),1.963235294117647 (-0.05698529411764697)
O0-fmove-loop-invariants,266 (2),1.5601503759398496 (-0.004180226686118171),50 (0),1.37 (0.2699999999999998),67 (-3),1.962686567164179 (-0.05643656716417911)
O0-fomit-frame-pointer,234 (34),1.8504273504273505 (-0.29445720117361907),64 (-14),1.96875 (-0.3287500000000001),64 (0),2.2890625 (-0.3828125)
O0-freorder-blocks,266 (2),1.5601503759398496 (-0.004180226686118171),39 (11),1.6025641025641026 (0.03743589743589726),68 (-4),1.963235294117647 (-0.05698529411764697)
O0-fshrink-wrap,281 (-13),1.5622775800711743 (-0.006307430817442894),51 (-1),1.6470588235294117 (-0.007058823529411784),44 (20),1.5227272727272727 (0.3835227272727273)
O0-fsplit-wide-types,267 (1),1.5617977528089888 (-0.005827603555257355),45 (5),1.6111111111111112 (0.028888888888888742),68 (-4),1.8161764705882353 (0.09007352941176472)
O0-fssa-phiopt,267 (1),1.5617977528089888 (-0.005827603555257355),34 (16),1.2058823529411764 (0.4341176470588235),64 (0),1.75 (0.15625)
O0-ftree-bit-ccp,266 (2),1.5601503759398496 (-0.004180226686118171),39 (11),1.6025641025641026 (0.03743589743589726),68 (-4),1.963235294117647 (-0.05698529411764697)
O0-ftree-builtin-call-dce,266 (2),1.5601503759398496 (-0.004180226686118171),49 (1),1.3979591836734695 (0.2420408163265304),67 (-3),1.962686567164179 (-0.05643656716417911)
O0-ftree-ccp,267 (1),1.5617977528089888 (-0.005827603555257355),34 (16),1.2058823529411764 (0.4341176470588235),64 (0),1.75 (0.15625)
O0-ftree-ch,268 (0),1.5727611940298507 (-0.016791044776119257),32 (18),1.0625 (0.5774999999999999),64 (0),1.8828125 (0.0234375)
O0-ftree-coalesce-vars,262 (6),1.6087786259541985 (-0.052808476700467066),55 (-5),1.3 (0.33999999999999986),54 (10),1.6018518518518519 (0.30439814814814814)
O0-ftree-copy-prop,269 (-1),1.553903345724907 (0.00206680352882449),39 (11),1.6025641025641026 (0.03743589743589726),68 (-4),1.963235294117647 (-0.05698529411764697)
