Package Variant,Quality ROP Gadgets,Average ROP Gadget Quality,Quality JOP Gadgets,Average JOP Gadget Quality,Quality COP Gadgets,Average COP Gadget Quality
O0,59,1.6694915254237288,7,1.9285714285714286,3,1.5
O1,84 (-25),1.5535714285714286 (0.1159200968523002),19 (-12),0.6842105263157895 (1.244360902255639),5 (-2),1.4 (0.10000000000000009)
O2,83 (-24),1.5481927710843373 (0.12129875433939152),20 (-13),1.15 (0.7785714285714287),4 (-1),2.75 (-1.25)
O3,77 (-18),1.422077922077922 (0.24741360334580675),21 (-14),0.5952380952380952 (1.3333333333333335),11 (-8),3.727272727272727 (-2.227272727272727)
