Package Variant,Practical ROP Exploit,ASLR-Proof Practical ROP Exploit,Simple Turing Completeness
O0,6 of 11,9 of 35,4 of 17
O1,5 (1),20 (-11),5 (-1)
O2,6 (0),19 (-10),5 (-1)
O3,5 (1),16 (-7),4 (0)
