Package Variant,Total Gadgets,ROP Gadgets,JOP Gadgets,COP Gadgets,Special Purpose Gadgets
O0,71,59,7,3,2
O1,111 (-40; -56.3%),84 (-25; -42.4%),19 (-12; -171.4%),5 (-2; -66.7%),3 (-1; -50.0%)
O2,108 (-37; -52.1%),83 (-24; -40.7%),20 (-13; -185.7%),4 (-1; -33.3%),1 (1; 50.0%)
O3,111 (-40; -56.3%),77 (-18; -30.5%),21 (-14; -200.0%),11 (-8; -266.7%),2 (0; 0.0%)
