Special Purpose Gadget Counts + Introduction
Package Variant,Syscall Gadgets,JOP Dispatcher Gadgets,JOP Dataloader Gadgets,JOP Initializers,JOP Trampolines,COP Dispatcher Gadgets,COP Dataloader Gadgets,COP Initializers,COP Strong Trampoline Gadgets,COP Intra-stack Pivot Gadgets
O1,21,13,35,0,3,14,43,0,0,8
O1_fcse_follow_jumps,24 (-3; -14.3%),14 (-1; -7.7%),24 (11; 31.4%),0 (0; 0.0%),1 (2; 66.7%),15 (-1; -7.1%),37 (6; 14.0%),0 (0; 0.0%),0 (0; 0.0%),6 (2; 25.0%)
O1_foptimize_sibling_calls,25 (-4; -19.0%),10 (3; 23.1%),70 (-35; -100.0%),0 (0; 0.0%),3 (0; 0.0%),29 (-15; -107.1%),51 (-8; -18.6%),0 (0; 0.0%),0 (0; 0.0%),13 (-5; -62.5%)
O1_fpeephole2,21 (0; 0.0%),9 (4; 30.8%),23 (12; 34.3%),0 (0; 0.0%),3 (0; 0.0%),14 (0; 0.0%),48 (-5; -11.6%),0 (0; 0.0%),0 (0; 0.0%),8 (0; 0.0%)
O1_fstore_merging,18 (3; 14.3%),13 (0; 0.0%),27 (8; 22.9%),0 (0; 0.0%),1 (2; 66.7%),17 (-3; -21.4%),43 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),14 (-6; -75.0%)
