Package Variant,Total Gadgets,ROP Gadgets,JOP Gadgets,COP Gadgets,Special Purpose Gadgets
O1,13512,9443,1371,2561,137
O1_fcse_follow_jumps,13318 (194; 1.4%),9308 (135; 1.4%),1364 (7; 0.5%),2525 (36; 1.4%),121 (16; 11.7%)
O1_foptimize_sibling_calls,13767 (-255; -1.9%),9545 (-102; -1.1%),1290 (81; 5.9%),2731 (-170; -6.6%),201 (-64; -46.7%)
O1_fpeephole2,13702 (-190; -1.4%),9763 (-320; -3.4%),1284 (87; 6.3%),2529 (32; 1.2%),126 (11; 8.0%)
O1_fstore_merging,13499 (13; 0.1%),9443 (0; 0.0%),1427 (-56; -4.1%),2496 (65; 2.5%),133 (4; 2.9%)
