Special Purpose Gadget Introduction Data
Package Variant,Syscall Gadgets,Syscall Gadget Introduction Rate,JOP Dispatcher Gadgets,JOP Dispatcher Gadget Introduction Rate,JOP Dataloader Gadgets,JOP Dataloader Gadget Introduction Rate,JOP Initializer Gadgets,JOP Initializer Gadget Introduction Rate,JOP Trampoline Gadgets,JOP Trampoline Gadget Introduction Rate,COP Dispatcher Gadgets,COP Dispatcher Gadget Introduction Rate,COP Dataloader Gadgets,COP Dataloader Gadget Introduction Rate,COP Initializer Gadgets,COP Initializer Gadget Introduction Rate,COP Strong Trampoline Gadgets,COP Strong Trampoline Gadget Introduction Rate,COP Intra-stack Pivot Gadgets,COP Intra-stack Pivot Gadget Introduction Rate
O2,4, ,9, ,33, ,0, ,1, ,9, ,13, ,0, ,0, ,4
O2-fgcse-after-reload,4,0.0%,14,100.0%,34,32.4%,0,0.0%,3,100.0%,16,100.0%,12,58.3%,0,0.0%,0,0.0%,5,20.0%
O2-finline-functions,8,50.0%,8,100.0%,49,65.3%,0,0.0%,6,100.0%,19,100.0%,19,100.0%,0,0.0%,0,0.0%,5,40.0%
O2-fipa-cp-clone,10,60.0%,16,100.0%,33,48.5%,0,0.0%,3,100.0%,9,100.0%,16,100.0%,0,0.0%,0,0.0%,4,25.0%
O2-fpeel-loops,4,0.0%,4,100.0%,40,50.0%,0,0.0%,2,100.0%,14,100.0%,8,100.0%,0,0.0%,0,0.0%,7,57.1%
O2-fpredictive-commoning,4,0.0%,16,100.0%,32,28.1%,0,0.0%,3,100.0%,10,90.0%,9,55.6%,0,0.0%,0,0.0%,4,0.0%
O2-fsplit-loops,4,0.0%,12,100.0%,35,28.6%,0,0.0%,0,0.0%,11,90.9%,14,64.3%,0,0.0%,0,0.0%,5,20.0%
O2-fsplit-paths,10,60.0%,14,100.0%,36,47.2%,0,0.0%,3,100.0%,9,100.0%,15,86.7%,0,0.0%,0,0.0%,8,62.5%
O2-ftree-loop-distribute-patterns,4,0.0%,14,100.0%,33,30.3%,0,0.0%,7,100.0%,10,100.0%,14,78.6%,0,0.0%,0,0.0%,5,20.0%
O2-ftree-loop-vectorize,5,20.0%,19,100.0%,35,40.0%,0,0.0%,3,100.0%,19,100.0%,18,100.0%,0,0.0%,0,0.0%,5,40.0%
O2-ftree-partial-pre,4,0.0%,13,100.0%,29,41.4%,0,0.0%,6,100.0%,19,100.0%,15,100.0%,0,0.0%,0,0.0%,6,50.0%
O2-ftree-slp-vectorize,7,42.9%,9,88.9%,31,32.3%,0,0.0%,4,100.0%,21,95.2%,14,78.6%,0,0.0%,0,0.0%,7,57.1%
O2-funswitch-loops,10,60.0%,12,100.0%,40,52.5%,0,0.0%,3,100.0%,12,100.0%,14,92.9%,0,0.0%,0,0.0%,5,40.0%
