Special Purpose Gadget Counts + Introduction
Package Variant,Syscall Gadgets,JOP Dispatcher Gadgets,JOP Dataloader Gadgets,JOP Initializers,JOP Trampolines,COP Dispatcher Gadgets,COP Dataloader Gadgets,COP Initializers,COP Strong Trampoline Gadgets,COP Intra-stack Pivot Gadgets
O0,1,4,19,0,1,15,20,0,0,1
O0-loop-load-elim,5 (-4; -400.0%),5 (-1; -25.0%),16 (3; 15.8%),0 (0; 0.0%),0 (1; 100.0%),5 (10; 66.7%),21 (-1; -5.0%),0 (0; 0.0%),0 (0; 0.0%),0 (1; 100.0%)
O0-loop-rotate,5 (-4; -400.0%),5 (-1; -25.0%),13 (6; 31.6%),0 (0; 0.0%),1 (0; 0.0%),9 (6; 40.0%),13 (7; 35.0%),0 (0; 0.0%),0 (0; 0.0%),1 (0; 0.0%)
O0-loop-simplify,5 (-4; -400.0%),5 (-1; -25.0%),16 (3; 15.8%),0 (0; 0.0%),0 (1; 100.0%),5 (10; 66.7%),21 (-1; -5.0%),0 (0; 0.0%),0 (0; 0.0%),0 (1; 100.0%)
O0-loop-sink,5 (-4; -400.0%),5 (-1; -25.0%),16 (3; 15.8%),0 (0; 0.0%),0 (1; 100.0%),5 (10; 66.7%),21 (-1; -5.0%),0 (0; 0.0%),0 (0; 0.0%),0 (1; 100.0%)
O0-loop-unroll,5 (-4; -400.0%),5 (-1; -25.0%),16 (3; 15.8%),0 (0; 0.0%),0 (1; 100.0%),5 (10; 66.7%),21 (-1; -5.0%),0 (0; 0.0%),0 (0; 0.0%),0 (1; 100.0%)
O0-loop-unswitch,5 (-4; -400.0%),5 (-1; -25.0%),16 (3; 15.8%),0 (0; 0.0%),0 (1; 100.0%),5 (10; 66.7%),21 (-1; -5.0%),0 (0; 0.0%),0 (0; 0.0%),0 (1; 100.0%)
O0-loop-vectorize,5 (-4; -400.0%),5 (-1; -25.0%),16 (3; 15.8%),0 (0; 0.0%),0 (1; 100.0%),5 (10; 66.7%),21 (-1; -5.0%),0 (0; 0.0%),0 (0; 0.0%),0 (1; 100.0%)
O0-memcpyopt,2 (-1; -100.0%),4 (0; 0.0%),18 (1; 5.3%),0 (0; 0.0%),0 (1; 100.0%),7 (8; 53.3%),23 (-3; -15.0%),0 (0; 0.0%),0 (0; 0.0%),2 (-1; -100.0%)
O0-prune-eh,5 (-4; -400.0%),2 (2; 50.0%),18 (1; 5.3%),0 (0; 0.0%),1 (0; 0.0%),11 (4; 26.7%),18 (2; 10.0%),0 (0; 0.0%),0 (0; 0.0%),0 (1; 100.0%)
O0-reassociate,0 (1; 100.0%),3 (1; 25.0%),15 (4; 21.1%),0 (0; 0.0%),1 (0; 0.0%),10 (5; 33.3%),18 (2; 10.0%),0 (0; 0.0%),0 (0; 0.0%),1 (0; 0.0%)
O0-sccp,2 (-1; -100.0%),3 (1; 25.0%),20 (-1; -5.3%),0 (0; 0.0%),3 (-2; -200.0%),7 (8; 53.3%),19 (1; 5.0%),0 (0; 0.0%),0 (0; 0.0%),2 (-1; -100.0%)
O0-simplifycfg,2 (-1; -100.0%),1 (3; 75.0%),17 (2; 10.5%),0 (0; 0.0%),1 (0; 0.0%),8 (7; 46.7%),19 (1; 5.0%),0 (0; 0.0%),0 (0; 0.0%),1 (0; 0.0%)
O0-speculative-execution,5 (-4; -400.0%),2 (2; 50.0%),18 (1; 5.3%),0 (0; 0.0%),1 (0; 0.0%),11 (4; 26.7%),18 (2; 10.0%),0 (0; 0.0%),0 (0; 0.0%),0 (1; 100.0%)
O0-sroa,0 (1; 100.0%),10 (-6; -150.0%),23 (-4; -21.1%),0 (0; 0.0%),1 (0; 0.0%),25 (-10; -66.7%),33 (-13; -65.0%),0 (0; 0.0%),0 (0; 0.0%),2 (-1; -100.0%)
O0-strip-dead-prototypes,5 (-4; -400.0%),2 (2; 50.0%),18 (1; 5.3%),0 (0; 0.0%),1 (0; 0.0%),11 (4; 26.7%),18 (2; 10.0%),0 (0; 0.0%),0 (0; 0.0%),0 (1; 100.0%)
O0-tailcallelim,5 (-4; -400.0%),9 (-5; -125.0%),20 (-1; -5.3%),0 (0; 0.0%),2 (-1; -100.0%),28 (-13; -86.7%),20 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (1; 100.0%)
