Package Variant,Total Gadgets,Total Introduction Rate,ROP Gadgets,ROP Introduction Rate,JOP Gadgets,JOP Introduction Rate,COP Gadgets,COP Introduction Rate
O2,319, ,223, ,8, ,85
O2_fipa_cp_clone,347,27.7%,232,15.9%,14,71.4%,92,45.7%
