Package Variant,Total Gadgets,ROP Gadgets,JOP Gadgets,COP Gadgets,Special Purpose Gadgets
O2,319,223,8,85,3
O2_fipa_cp_clone,347 (-28; -8.8%),232 (-9; -4.0%),14 (-6; -75.0%),92 (-7; -8.2%),9 (-6; -200.0%)
