Special Purpose Gadget Counts + Introduction
Package Variant,Syscall Gadgets,JOP Dispatcher Gadgets,JOP Dataloader Gadgets,JOP Initializers,JOP Trampolines,COP Dispatcher Gadgets,COP Dataloader Gadgets,COP Initializers,COP Strong Trampoline Gadgets,COP Intra-stack Pivot Gadgets
O3,85,31,24,0,10,30,16,0,0,1
O3-no-tail-call-elim,87 (-2; -2.4%),14 (17; 54.8%),15 (9; 37.5%),0 (0; 0.0%),3 (7; 70.0%),29 (1; 3.3%),11 (5; 31.2%),0 (0; 0.0%),0 (0; 0.0%),3 (-2; -200.0%)
