Package Variant,Total Gadgets,ROP Gadgets,JOP Gadgets,COP Gadgets,Special Purpose Gadgets
O0,682,495,97,70,20
O0_fomit_frame_pointer,610 (72; 10.6%),493 (2; 0.4%),67 (30; 30.9%),43 (27; 38.6%),7 (13; 65.0%)
O0_fshrink_wrap,664 (18; 2.6%),498 (-3; -0.6%),86 (11; 11.3%),63 (7; 10.0%),17 (3; 15.0%)
