Special Purpose Gadget Counts + Introduction
Package Variant,Syscall Gadgets,JOP Dispatcher Gadgets,JOP Dataloader Gadgets,JOP Initializers,JOP Trampolines,COP Dispatcher Gadgets,COP Dataloader Gadgets,COP Initializers,COP Strong Trampoline Gadgets,COP Intra-stack Pivot Gadgets
O0,1,2,5,0,0,11,1,0,0,0
O0_fomit_frame_pointer,0 (1; 100.0%),1 (1; 50.0%),4 (1; 20.0%),0 (0; 0.0%),0 (0; 0.0%),1 (10; 90.9%),1 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%)
O0_fshrink_wrap,1 (0; 0.0%),2 (0; 0.0%),6 (-1; -20.0%),0 (0; 0.0%),0 (0; 0.0%),6 (5; 45.5%),2 (-1; -100.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%)
