Package Variant,Practical ROP Exploit,ASLR-Proof Practical ROP Exploit,Simple Turing Completeness
O0,11 of 11,35 of 35,16 of 17
O0-fomit-frame-pointer,11 (0),35 (0),17 (-1)
O0-tailcallelim,9 (2),33 (2),16 (0)
