Special Purpose Gadget Counts + Introduction
Package Variant,Syscall Gadgets,JOP Dispatcher Gadgets,JOP Dataloader Gadgets,JOP Initializers,JOP Trampolines,COP Dispatcher Gadgets,COP Dataloader Gadgets,COP Initializers,COP Strong Trampoline Gadgets,COP Intra-stack Pivot Gadgets
O0,27,103,59,0,36,96,23,0,0,5
O0-fomit-frame-pointer,23 (4; 14.8%),74 (29; 28.2%),57 (2; 3.4%),0 (0; 0.0%),9 (27; 75.0%),65 (31; 32.3%),53 (-30; -130.4%),0 (0; 0.0%),0 (0; 0.0%),8 (-3; -60.0%)
O0-tailcallelim,13 (14; 51.9%),26 (77; 74.8%),74 (-15; -25.4%),0 (0; 0.0%),5 (31; 86.1%),20 (76; 79.2%),53 (-30; -130.4%),0 (0; 0.0%),0 (0; 0.0%),38 (-33; -660.0%)
