Package Variant,Total Gadgets,ROP Gadgets,JOP Gadgets,COP Gadgets,Special Purpose Gadgets
O1,6058,1613,812,3542,91
O1-constmerge,4874 (1184; 19.5%),1108 (505; 31.3%),1006 (-194; -23.9%),2685 (857; 24.2%),75 (16; 17.6%)
O1-elim-avail-extern,4874 (1184; 19.5%),1108 (505; 31.3%),1006 (-194; -23.9%),2685 (857; 24.2%),75 (16; 17.6%)
O1-gvn,4707 (1351; 22.3%),1116 (497; 30.8%),960 (-148; -18.2%),2568 (974; 27.5%),63 (28; 30.8%)
O1-inline,4874 (1184; 19.5%),1108 (505; 31.3%),1006 (-194; -23.9%),2685 (857; 24.2%),75 (16; 17.6%)
O1-mldst-motion,4874 (1184; 19.5%),1108 (505; 31.3%),1006 (-194; -23.9%),2685 (857; 24.2%),75 (16; 17.6%)
O1-slp-vectorizer,4747 (1311; 21.6%),1116 (497; 30.8%),960 (-148; -18.2%),2610 (932; 26.3%),61 (30; 33.0%)
