Special Purpose Gadget Counts + Introduction
Package Variant,Syscall Gadgets,JOP Dispatcher Gadgets,JOP Dataloader Gadgets,JOP Initializers,JOP Trampolines,COP Dispatcher Gadgets,COP Dataloader Gadgets,COP Initializers,COP Strong Trampoline Gadgets,COP Intra-stack Pivot Gadgets
O1,1,4,38,0,5,8,33,0,0,2
O1-constmerge,2 (-1; -100.0%),10 (-6; -150.0%),15 (23; 60.5%),0 (0; 0.0%),2 (3; 60.0%),11 (-3; -37.5%),33 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),2 (0; 0.0%)
O1-elim-avail-extern,2 (-1; -100.0%),10 (-6; -150.0%),15 (23; 60.5%),0 (0; 0.0%),2 (3; 60.0%),11 (-3; -37.5%),33 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),2 (0; 0.0%)
O1-gvn,1 (0; 0.0%),14 (-10; -250.0%),15 (23; 60.5%),0 (0; 0.0%),2 (3; 60.0%),9 (-1; -12.5%),22 (11; 33.3%),0 (0; 0.0%),0 (0; 0.0%),0 (2; 100.0%)
O1-inline,2 (-1; -100.0%),10 (-6; -150.0%),15 (23; 60.5%),0 (0; 0.0%),2 (3; 60.0%),11 (-3; -37.5%),33 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),2 (0; 0.0%)
O1-mldst-motion,2 (-1; -100.0%),10 (-6; -150.0%),15 (23; 60.5%),0 (0; 0.0%),2 (3; 60.0%),11 (-3; -37.5%),33 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),2 (0; 0.0%)
O1-slp-vectorizer,1 (0; 0.0%),9 (-5; -125.0%),22 (16; 42.1%),0 (0; 0.0%),2 (3; 60.0%),5 (3; 37.5%),22 (11; 33.3%),0 (0; 0.0%),0 (0; 0.0%),0 (2; 100.0%)
