Package Variant,Quality ROP Gadgets,Average ROP Gadget Quality,Quality JOP Gadgets,Average JOP Gadget Quality,Quality COP Gadgets,Average COP Gadget Quality
O0,254,1.874015748031496,39,1.9102564102564104,38,1.8026315789473684
O1,237 (17),1.4725738396624473 (0.4014419083690488),31 (8),1.0161290322580645 (0.8941273779983459),21 (17),1.3095238095238095 (0.49310776942355883)
O2,271 (-17),1.4870848708487086 (0.3869308771827875),34 (5),0.5735294117647058 (1.3367269984917045),13 (25),1.3461538461538463 (0.4564777327935221)
O3,271 (-17),1.4741697416974169 (0.3998460063340792),46 (-7),0.5978260869565217 (1.3124303232998886),29 (9),1.896551724137931 (-0.09392014519056269)
