Package Variant,Practical ROP Exploit,ASLR-Proof Practical ROP Exploit,Simple Turing Completeness
O0,8 of 11,24 of 35,7 of 17
O1,7 (1),26 (-2),6 (1)
O2,7 (1),26 (-2),6 (1)
O3,8 (0),27 (-3),8 (-1)
