Special Purpose Gadget Counts + Introduction
Package Variant,Syscall Gadgets,JOP Dispatcher Gadgets,JOP Dataloader Gadgets,JOP Initializers,JOP Trampolines,COP Dispatcher Gadgets,COP Dataloader Gadgets,COP Initializers,COP Strong Trampoline Gadgets,COP Intra-stack Pivot Gadgets
O0,0,10,8,0,2,0,4,0,0,0
O0_fomit_frame_pointer,1 (-1; 0.0%),4 (6; 60.0%),6 (2; 25.0%),0 (0; 0.0%),3 (-1; -50.0%),12 (-12; 0.0%),1 (3; 75.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%)
O0_tailcallelim,6 (-6; 0.0%),1 (9; 90.0%),4 (4; 50.0%),0 (0; 0.0%),1 (1; 50.0%),0 (0; 0.0%),5 (-1; -25.0%),0 (0; 0.0%),0 (0; 0.0%),1 (-1; 0.0%)
