Package Variant,Total Gadgets,ROP Gadgets,JOP Gadgets,COP Gadgets,Special Purpose Gadgets
O0,1568,590,693,261,24
O0_fomit_frame_pointer,1649 (-81; -5.2%),778 (-188; -31.9%),436 (257; 37.1%),408 (-147; -56.3%),27 (-3; -12.5%)
O0_tailcallelim,1267 (301; 19.2%),710 (-120; -20.3%),278 (415; 59.9%),261 (0; 0.0%),18 (6; 25.0%)
