Package Variant,Quality ROP Gadgets,Average ROP Gadget Quality,Quality JOP Gadgets,Average JOP Gadget Quality,Quality COP Gadgets,Average COP Gadget Quality
O0,590,1.897457627118644,693,2.4220779220779223,261,1.706896551724138
O0_fomit_frame_pointer,778 (-188),2.0655526992287916 (-0.16809507211014751),436 (257),2.1926605504587156 (0.22941737161920672),408 (-147),2.090686274509804 (-0.38378972278566614)
O0_tailcallelim,710 (-120),1.9204225352112676 (-0.022964908092623526),278 (415),1.4442446043165467 (0.9778333177613756),261 (0),1.1302681992337165 (0.5766283524904214)
