Package Variant,Practical ROP Exploit,ASLR-Proof Practical ROP Exploit,Simple Turing Completeness
O0,8 of 11,31 of 35,15 of 17
O1,9 (-1),33 (-2),15 (0)
O2,9 (-1),34 (-3),16 (-1)
O3,9 (-1),33 (-2),17 (-2)
