Special Purpose Gadget Counts + Introduction
Package Variant,Syscall Gadgets,JOP Dispatcher Gadgets,JOP Dataloader Gadgets,JOP Initializers,JOP Trampolines,COP Dispatcher Gadgets,COP Dataloader Gadgets,COP Initializers,COP Strong Trampoline Gadgets,COP Intra-stack Pivot Gadgets
O0,4,4,19,0,3,45,10,0,0,3
O1,3 (1; 25.0%),7 (-3; -75.0%),45 (-26; -136.8%),0 (0; 0.0%),4 (-1; -33.3%),13 (32; 71.1%),14 (-4; -40.0%),0 (0; 0.0%),0 (0; 0.0%),5 (-2; -66.7%)
O2,2 (2; 50.0%),8 (-4; -100.0%),49 (-30; -157.9%),0 (0; 0.0%),0 (3; 100.0%),10 (35; 77.8%),14 (-4; -40.0%),0 (0; 0.0%),0 (0; 0.0%),2 (1; 33.3%)
O3,4 (0; 0.0%),9 (-5; -125.0%),48 (-29; -152.6%),0 (0; 0.0%),4 (-1; -33.3%),7 (38; 84.4%),18 (-8; -80.0%),0 (0; 0.0%),0 (0; 0.0%),2 (1; 33.3%)
