Package Variant,Total Gadgets,Total Introduction Rate,ROP Gadgets,ROP Introduction Rate,JOP Gadgets,JOP Introduction Rate,COP Gadgets,COP Introduction Rate
O0,4229, ,1389, ,731, ,2021
O1,4368,92.1%,2209,88.8%,841,94.6%,1227,95.9%
O2,4432,92.1%,2092,87.8%,725,93.5%,1530,96.8%
O3,4478,92.4%,2112,88.5%,814,94.2%,1460,96.6%
