Package Variant,Total Gadgets,ROP Gadgets,JOP Gadgets,COP Gadgets,Special Purpose Gadgets
O0,4229,1389,731,2021,88
O1,4368 (-139; -3.3%),2209 (-820; -59.0%),841 (-110; -15.0%),1227 (794; 39.3%),91 (-3; -3.4%)
O2,4432 (-203; -4.8%),2092 (-703; -50.6%),725 (6; 0.8%),1530 (491; 24.3%),85 (3; 3.4%)
O3,4478 (-249; -5.9%),2112 (-723; -52.1%),814 (-83; -11.4%),1460 (561; 27.8%),92 (-4; -4.5%)
