Special Purpose Gadget Counts + Introduction
Package Variant,Syscall Gadgets,JOP Dispatcher Gadgets,JOP Dataloader Gadgets,JOP Initializers,JOP Trampolines,COP Dispatcher Gadgets,COP Dataloader Gadgets,COP Initializers,COP Strong Trampoline Gadgets,COP Intra-stack Pivot Gadgets
O0,17,8,24,0,2,12,22,0,0,4
O0-loop-load-elim,11 (6; 35.3%),8 (0; 0.0%),16 (8; 33.3%),0 (0; 0.0%),2 (0; 0.0%),13 (-1; -8.3%),17 (5; 22.7%),0 (0; 0.0%),0 (0; 0.0%),4 (0; 0.0%)
O0-loop-rotate,13 (4; 23.5%),10 (-2; -25.0%),21 (3; 12.5%),0 (0; 0.0%),6 (-4; -200.0%),13 (-1; -8.3%),28 (-6; -27.3%),0 (0; 0.0%),0 (0; 0.0%),1 (3; 75.0%)
O0-loop-simplify,11 (6; 35.3%),8 (0; 0.0%),16 (8; 33.3%),0 (0; 0.0%),2 (0; 0.0%),13 (-1; -8.3%),17 (5; 22.7%),0 (0; 0.0%),0 (0; 0.0%),4 (0; 0.0%)
O0-loop-sink,11 (6; 35.3%),8 (0; 0.0%),16 (8; 33.3%),0 (0; 0.0%),2 (0; 0.0%),13 (-1; -8.3%),17 (5; 22.7%),0 (0; 0.0%),0 (0; 0.0%),4 (0; 0.0%)
O0-loop-unroll,11 (6; 35.3%),8 (0; 0.0%),16 (8; 33.3%),0 (0; 0.0%),2 (0; 0.0%),13 (-1; -8.3%),17 (5; 22.7%),0 (0; 0.0%),0 (0; 0.0%),4 (0; 0.0%)
O0-loop-unswitch,11 (6; 35.3%),8 (0; 0.0%),16 (8; 33.3%),0 (0; 0.0%),2 (0; 0.0%),13 (-1; -8.3%),17 (5; 22.7%),0 (0; 0.0%),0 (0; 0.0%),4 (0; 0.0%)
O0-loop-vectorize,11 (6; 35.3%),8 (0; 0.0%),16 (8; 33.3%),0 (0; 0.0%),2 (0; 0.0%),13 (-1; -8.3%),17 (5; 22.7%),0 (0; 0.0%),0 (0; 0.0%),4 (0; 0.0%)
O0-memcpyopt,11 (6; 35.3%),6 (2; 25.0%),23 (1; 4.2%),0 (0; 0.0%),2 (0; 0.0%),8 (4; 33.3%),24 (-2; -9.1%),0 (0; 0.0%),0 (0; 0.0%),6 (-2; -50.0%)
O0-prune-eh,11 (6; 35.3%),6 (2; 25.0%),23 (1; 4.2%),0 (0; 0.0%),2 (0; 0.0%),8 (4; 33.3%),24 (-2; -9.1%),0 (0; 0.0%),0 (0; 0.0%),6 (-2; -50.0%)
O0-reassociate,17 (0; 0.0%),7 (1; 12.5%),18 (6; 25.0%),0 (0; 0.0%),2 (0; 0.0%),10 (2; 16.7%),23 (-1; -4.5%),0 (0; 0.0%),0 (0; 0.0%),9 (-5; -125.0%)
O0-sccp,11 (6; 35.3%),6 (2; 25.0%),23 (1; 4.2%),0 (0; 0.0%),2 (0; 0.0%),8 (4; 33.3%),24 (-2; -9.1%),0 (0; 0.0%),0 (0; 0.0%),6 (-2; -50.0%)
O0-simplifycfg,11 (6; 35.3%),5 (3; 37.5%),23 (1; 4.2%),0 (0; 0.0%),3 (-1; -50.0%),8 (4; 33.3%),17 (5; 22.7%),0 (0; 0.0%),0 (0; 0.0%),10 (-6; -150.0%)
O0-speculative-execution,11 (6; 35.3%),6 (2; 25.0%),23 (1; 4.2%),0 (0; 0.0%),2 (0; 0.0%),8 (4; 33.3%),24 (-2; -9.1%),0 (0; 0.0%),0 (0; 0.0%),6 (-2; -50.0%)
O0-sroa,12 (5; 29.4%),8 (0; 0.0%),20 (4; 16.7%),0 (0; 0.0%),3 (-1; -50.0%),5 (7; 58.3%),22 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),1 (3; 75.0%)
O0-strip-dead-prototypes,11 (6; 35.3%),6 (2; 25.0%),23 (1; 4.2%),0 (0; 0.0%),2 (0; 0.0%),8 (4; 33.3%),24 (-2; -9.1%),0 (0; 0.0%),0 (0; 0.0%),6 (-2; -50.0%)
O0-tailcallelim,13 (4; 23.5%),5 (3; 37.5%),43 (-19; -79.2%),0 (0; 0.0%),2 (0; 0.0%),13 (-1; -8.3%),30 (-8; -36.4%),0 (0; 0.0%),0 (0; 0.0%),1 (3; 75.0%)
