Special Purpose Gadget Counts + Introduction
Package Variant,Syscall Gadgets,JOP Dispatcher Gadgets,JOP Dataloader Gadgets,JOP Initializers,JOP Trampolines,COP Dispatcher Gadgets,COP Dataloader Gadgets,COP Initializers,COP Strong Trampoline Gadgets,COP Intra-stack Pivot Gadgets
O0,3,3,31,0,1,6,7,0,0,0
O1,4 (-1; -33.3%),5 (-2; -66.7%),15 (16; 51.6%),0 (0; 0.0%),1 (0; 0.0%),0 (6; 100.0%),4 (3; 42.9%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%)
O2,0 (3; 100.0%),7 (-4; -133.3%),15 (16; 51.6%),0 (0; 0.0%),5 (-4; -400.0%),7 (-1; -16.7%),7 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%)
O3,2 (1; 33.3%),0 (3; 100.0%),16 (15; 48.4%),0 (0; 0.0%),3 (-2; -200.0%),6 (0; 0.0%),5 (2; 28.6%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%)
