Package Variant,Total Gadgets,Total Introduction Rate,ROP Gadgets,ROP Introduction Rate,JOP Gadgets,JOP Introduction Rate,COP Gadgets,COP Introduction Rate
O0,2023, ,922, ,546, ,504
O1,1942,95.6%,1240,95.2%,399,95.7%,274,96.4%
O2,2013,95.8%,1210,95.4%,401,96.0%,361,96.7%
O3,2241,95.6%,1337,95.4%,483,95.4%,389,96.1%
