Package Variant,Practical ROP Exploit,ASLR-Proof Practical ROP Exploit,Simple Turing Completeness
O0,9 of 11,34 of 35,15 of 17
O1,9 (0),34 (0),14 (1)
O2,9 (0),30 (4),13 (2)
O3,9 (0),32 (2),15 (0)
