Package Variant,Total Gadgets,ROP Gadgets,JOP Gadgets,COP Gadgets,Special Purpose Gadgets
O1,675,534,62,73,6
O1_fcse_follow_jumps,665 (10; 1.5%),541 (-7; -1.3%),62 (0; 0.0%),57 (16; 21.9%),5 (1; 16.7%)
O1_foptimize_sibling_calls,673 (2; 0.3%),547 (-13; -2.4%),60 (2; 3.2%),62 (11; 15.1%),4 (2; 33.3%)
O1_fpeephole2,728 (-53; -7.9%),600 (-66; -12.4%),49 (13; 21.0%),70 (3; 4.1%),9 (-3; -50.0%)
O1_fstore_merging,664 (11; 1.6%),532 (2; 0.4%),43 (19; 30.6%),83 (-10; -13.7%),6 (0; 0.0%)
