Package Variant,Total Gadgets,ROP Gadgets,JOP Gadgets,COP Gadgets,Special Purpose Gadgets
O0,508,272,191,38,7
O0_fomit_frame_pointer,508 (0; 0.0%),337 (-65; -23.9%),110 (81; 42.4%),56 (-18; -47.4%),5 (2; 28.6%)
O0_tailcallelim,483 (25; 4.9%),294 (-22; -8.1%),135 (56; 29.3%),50 (-12; -31.6%),4 (3; 42.9%)
