Package Variant,Quality ROP Gadgets,Average ROP Gadget Quality,Quality JOP Gadgets,Average JOP Gadget Quality,Quality COP Gadgets,Average COP Gadget Quality
O0,272,1.8272058823529411,191,2.3900523560209423,38,1.75
O0_fomit_frame_pointer,337 (-65),1.781899109792285 (0.04530677256065618),110 (81),2.1772727272727272 (0.2127796287482151),56 (-18),1.9642857142857142 (-0.2142857142857142)
O0_tailcallelim,294 (-22),1.5476190476190477 (0.27958683473389345),135 (56),2.137037037037037 (0.2530153189839055),50 (-12),1.44 (0.31000000000000005)
