Special Purpose Gadget Counts + Introduction
Package Variant,Syscall Gadgets,JOP Dispatcher Gadgets,JOP Dataloader Gadgets,JOP Initializers,JOP Trampolines,COP Dispatcher Gadgets,COP Dataloader Gadgets,COP Initializers,COP Strong Trampoline Gadgets,COP Intra-stack Pivot Gadgets
O0,0,5,1,0,0,0,1,0,0,0
O0_fomit_frame_pointer,0 (0; 0.0%),1 (4; 80.0%),4 (-3; -300.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (1; 100.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%)
O0_tailcallelim,0 (0; 0.0%),1 (4; 80.0%),1 (0; 0.0%),0 (0; 0.0%),2 (-2; 0.0%),0 (0; 0.0%),0 (1; 100.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%)
