Special Purpose Gadget Counts + Introduction
Package Variant,Syscall Gadgets,JOP Dispatcher Gadgets,JOP Dataloader Gadgets,JOP Initializers,JOP Trampolines,COP Dispatcher Gadgets,COP Dataloader Gadgets,COP Initializers,COP Strong Trampoline Gadgets,COP Intra-stack Pivot Gadgets
O0,0,10,8,0,2,0,4,0,0,0
O1,0 (0; 0.0%),3 (7; 70.0%),9 (-1; -12.5%),0 (0; 0.0%),2 (0; 0.0%),2 (-2; 0.0%),1 (3; 75.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%)
O2,0 (0; 0.0%),4 (6; 60.0%),5 (3; 37.5%),0 (0; 0.0%),1 (1; 50.0%),0 (0; 0.0%),2 (2; 50.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%)
O3,4 (-4; 0.0%),1 (9; 90.0%),13 (-5; -62.5%),0 (0; 0.0%),2 (0; 0.0%),2 (-2; 0.0%),4 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%)
