Package Variant,Total Gadgets,ROP Gadgets,JOP Gadgets,COP Gadgets,Special Purpose Gadgets
O0,1568,590,693,261,24
O1,1530 (38; 2.4%),1117 (-527; -89.3%),228 (465; 67.1%),168 (93; 35.6%),17 (7; 29.2%)
O2,1568 (0; 0.0%),1129 (-539; -91.4%),262 (431; 62.2%),165 (96; 36.8%),12 (12; 50.0%)
O3,1585 (-17; -1.1%),1148 (-558; -94.6%),259 (434; 62.6%),152 (109; 41.8%),26 (-2; -8.3%)
