Package Variant,Practical ROP Exploit,ASLR-Proof Practical ROP Exploit,Simple Turing Completeness
O0,6 of 11,28 of 35,7 of 17
O1,8 (-2),33 (-5),15 (-8)
O2,8 (-2),33 (-5),16 (-9)
O3,9 (-3),34 (-6),15 (-8)
