Package Variant,Practical ROP Exploit,ASLR-Proof Practical ROP Exploit,Simple Turing Completeness
O0,7 of 11,16 of 35,5 of 17
O1,8 (-1),26 (-10),9 (-4)
O2,7 (0),26 (-10),10 (-5)
O3,8 (-1),21 (-5),8 (-3)
