Package Variant,Total Gadgets,ROP Gadgets,JOP Gadgets,COP Gadgets,Special Purpose Gadgets
O0,335,223,56,52,4
O1,451 (-116; -34.6%),342 (-119; -53.4%),55 (1; 1.8%),42 (10; 19.2%),12 (-8; -200.0%)
O2,462 (-127; -37.9%),348 (-125; -56.1%),60 (-4; -7.1%),41 (11; 21.2%),13 (-9; -225.0%)
O3,449 (-114; -34.0%),335 (-112; -50.2%),48 (8; 14.3%),52 (0; 0.0%),14 (-10; -250.0%)
