Special Purpose Gadget Counts + Introduction
Package Variant,Syscall Gadgets,JOP Dispatcher Gadgets,JOP Dataloader Gadgets,JOP Initializers,JOP Trampolines,COP Dispatcher Gadgets,COP Dataloader Gadgets,COP Initializers,COP Strong Trampoline Gadgets,COP Intra-stack Pivot Gadgets
O0,0,1,3,0,0,0,0,0,0,0
O1,3 (-3; 0.0%),0 (1; 100.0%),8 (-5; -166.7%),0 (0; 0.0%),0 (0; 0.0%),1 (-1; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%)
O2,3 (-3; 0.0%),3 (-2; -200.0%),6 (-3; -100.0%),0 (0; 0.0%),0 (0; 0.0%),1 (-1; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%)
O3,4 (-4; 0.0%),0 (1; 100.0%),9 (-6; -200.0%),0 (0; 0.0%),0 (0; 0.0%),1 (-1; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%)
