Package Variant,Practical ROP Exploit,ASLR-Proof Practical ROP Exploit,Simple Turing Completeness
O0,6 of 11,11 of 35,5 of 17
O1,8 (-2),29 (-18),12 (-7)
O2,7 (-1),23 (-12),8 (-3)
O3,6 (0),22 (-11),8 (-3)
