Package Variant,Total Gadgets,ROP Gadgets,JOP Gadgets,COP Gadgets,Special Purpose Gadgets
O2,6506,1402,696,4304,104
O2-aggressive-instcombine,4871 (1635; 25.1%),1134 (268; 19.1%),1028 (-332; -47.7%),2634 (1670; 38.8%),75 (29; 27.9%)
O2-argpromotion,4723 (1783; 27.4%),1128 (274; 19.5%),987 (-291; -41.8%),2537 (1767; 41.1%),71 (33; 31.7%)
O2-callsite-splitting,4873 (1633; 25.1%),1144 (258; 18.4%),1107 (-411; -59.1%),2540 (1764; 41.0%),82 (22; 21.2%)
