Special Purpose Gadget Counts + Introduction
Package Variant,Syscall Gadgets,JOP Dispatcher Gadgets,JOP Dataloader Gadgets,JOP Initializers,JOP Trampolines,COP Dispatcher Gadgets,COP Dataloader Gadgets,COP Initializers,COP Strong Trampoline Gadgets,COP Intra-stack Pivot Gadgets
O2,12,3,44,0,2,10,32,0,0,1
O2-aggressive-instcombine,0 (12; 100.0%),15 (-12; -400.0%),16 (28; 63.6%),0 (0; 0.0%),3 (-1; -50.0%),17 (-7; -70.0%),24 (8; 25.0%),0 (0; 0.0%),0 (0; 0.0%),0 (1; 100.0%)
O2-argpromotion,2 (10; 83.3%),15 (-12; -400.0%),11 (33; 75.0%),0 (0; 0.0%),2 (0; 0.0%),19 (-9; -90.0%),22 (10; 31.2%),0 (0; 0.0%),0 (0; 0.0%),0 (1; 100.0%)
O2-callsite-splitting,0 (12; 100.0%),11 (-8; -266.7%),26 (18; 40.9%),0 (0; 0.0%),1 (1; 50.0%),16 (-6; -60.0%),27 (5; 15.6%),0 (0; 0.0%),0 (0; 0.0%),1 (0; 0.0%)
