Package Variant,Practical ROP Exploit,ASLR-Proof Practical ROP Exploit,Simple Turing Completeness
O2,8 of 11,31 of 35,13 of 17
O2-aggressive-instcombine,8 (0),30 (1),14 (-1)
O2-argpromotion,8 (0),27 (4),13 (0)
O2-callsite-splitting,9 (-1),30 (1),14 (-1)
