Special Purpose Gadget Counts + Introduction
Package Variant,Syscall Gadgets,JOP Dispatcher Gadgets,JOP Dataloader Gadgets,JOP Initializers,JOP Trampolines,COP Dispatcher Gadgets,COP Dataloader Gadgets,COP Initializers,COP Strong Trampoline Gadgets,COP Intra-stack Pivot Gadgets
O1,0,0,1,0,0,0,0,0,0,0
O1_fcse_follow_jumps,0 (0; 0.0%),0 (0; 0.0%),1 (0; 0.0%),0 (0; 0.0%),1 (-1; 0.0%),0 (0; 0.0%),1 (-1; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%)
O1_foptimize_sibling_calls,0 (0; 0.0%),0 (0; 0.0%),2 (-1; -100.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),1 (-1; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%)
O1_fpeephole2,0 (0; 0.0%),0 (0; 0.0%),3 (-2; -200.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),1 (-1; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%)
O1_fstore_merging,0 (0; 0.0%),0 (0; 0.0%),1 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%)
