Package Variant,Total Gadgets,ROP Gadgets,JOP Gadgets,COP Gadgets,Special Purpose Gadgets
O1,290,237,31,21,1
O1_fcse_follow_jumps,325 (-35; -12.1%),267 (-30; -12.7%),31 (0; 0.0%),24 (-3; -14.3%),3 (-2; -200.0%)
O1_foptimize_sibling_calls,293 (-3; -1.0%),235 (2; 0.8%),38 (-7; -22.6%),17 (4; 19.0%),3 (-2; -200.0%)
O1_fpeephole2,319 (-29; -10.0%),234 (3; 1.3%),45 (-14; -45.2%),36 (-15; -71.4%),4 (-3; -300.0%)
O1_fstore_merging,290 (0; 0.0%),237 (0; 0.0%),31 (0; 0.0%),21 (0; 0.0%),1 (0; 0.0%)
