Package Variant,Total Gadgets,ROP Gadgets,JOP Gadgets,COP Gadgets,Special Purpose Gadgets
O0,13198,4667,4201,3981,349
O1,19177 (-5979; -45.3%),9866 (-5199; -111.4%),4246 (-45; -1.1%),4682 (-701; -17.6%),383 (-34; -9.7%)
O2,12266 (932; 7.1%),6458 (-1791; -38.4%),2181 (2020; 48.1%),3440 (541; 13.6%),187 (162; 46.4%)
O3,12362 (836; 6.3%),6578 (-1911; -40.9%),2139 (2062; 49.1%),3458 (523; 13.1%),187 (162; 46.4%)
