Special Purpose Gadget Counts + Introduction
Package Variant,Syscall Gadgets,JOP Dispatcher Gadgets,JOP Dataloader Gadgets,JOP Initializers,JOP Trampolines,COP Dispatcher Gadgets,COP Dataloader Gadgets,COP Initializers,COP Strong Trampoline Gadgets,COP Intra-stack Pivot Gadgets
O0,27,103,59,0,36,96,23,0,0,5
O1,31 (-4; -14.8%),92 (11; 10.7%),108 (-49; -83.1%),0 (0; 0.0%),19 (17; 47.2%),78 (18; 18.8%),46 (-23; -100.0%),0 (0; 0.0%),0 (0; 0.0%),9 (-4; -80.0%)
O2,18 (9; 33.3%),26 (77; 74.8%),77 (-18; -30.5%),0 (0; 0.0%),7 (29; 80.6%),27 (69; 71.9%),29 (-6; -26.1%),0 (0; 0.0%),0 (0; 0.0%),3 (2; 40.0%)
O3,18 (9; 33.3%),33 (70; 68.0%),74 (-15; -25.4%),0 (0; 0.0%),9 (27; 75.0%),21 (75; 78.1%),26 (-3; -13.0%),0 (0; 0.0%),0 (0; 0.0%),6 (-1; -20.0%)
