Package Variant,Practical ROP Exploit,ASLR-Proof Practical ROP Exploit,Simple Turing Completeness
O1,11 of 11,35 of 35,17 of 17
O1-falign-labels,11 (0),35 (0),17 (0)
O1-fcaller-saves,11 (0),35 (0),17 (0)
O1-fcode-hoisting,11 (0),35 (0),17 (0)
O1-fcrossjumping,11 (0),35 (0),16 (1)
O1-fcse-follow-jumps,11 (0),35 (0),16 (1)
O1-fdevirtualize,11 (0),35 (0),17 (0)
O1-fdevirtualize-speculatively,11 (0),35 (0),17 (0)
O1-fexpensive-optimizations,11 (0),35 (0),17 (0)
O1-fgcse,11 (0),35 (0),16 (1)
O1-fhoist-adjacent-loads,10 (1),35 (0),17 (0)
O1-findirect-inlining,11 (0),35 (0),17 (0)
O1-finline-small-functions,11 (0),35 (0),17 (0)
O1-fipa-bit-cp,11 (0),35 (0),17 (0)
O1-fipa-cp,10 (1),34 (1),17 (0)
O1-fipa-icf,10 (1),34 (1),17 (0)
O1-fipa-icf-functions,10 (1),34 (1),17 (0)
O1-fipa-icf-variables,11 (0),35 (0),17 (0)
O1-fipa-ra,11 (0),35 (0),17 (0)
O1-fipa-sra,10 (1),34 (1),17 (0)
O1-fipa-vrp,11 (0),35 (0),17 (0)
O1-fisolate-erroneous-paths-dereference,11 (0),35 (0),16 (1)
O1-flra-remat,11 (0),35 (0),17 (0)
O1-foptimize-sibling-calls,10 (1),34 (1),17 (0)
O1-foptimize-strlen,11 (0),35 (0),17 (0)
O1-fpartial-inlining,10 (1),34 (1),16 (1)
O1-fpeephole2,10 (1),35 (0),17 (0)
O1-freorder-blocks-and-partition,11 (0),35 (0),17 (0)
O1-freorder-functions,11 (0),35 (0),17 (0)
O1-frerun-cse-after-loop,11 (0),35 (0),17 (0)
O1-fschedule-insns2,11 (0),35 (0),16 (1)
O1-fstore-merging,11 (0),35 (0),17 (0)
O1-fstrict-aliasing,11 (0),35 (0),17 (0)
O1-fstrict-overflow,11 (0),35 (0),17 (0)
O1-fthread-jumps,11 (0),35 (0),17 (0)
O1-ftree-pre,11 (0),35 (0),17 (0)
O1-ftree-switch-conversion,11 (0),35 (0),17 (0)
O1-ftree-tail-merge,11 (0),35 (0),17 (0)
O1-ftree-vrp,11 (0),35 (0),17 (0)
