Package Variant,Total Gadgets,Total Introduction Rate,ROP Gadgets,ROP Introduction Rate,JOP Gadgets,JOP Introduction Rate,COP Gadgets,COP Introduction Rate
O1,12696, ,7292, ,1803, ,3397
O1-falign-labels,12613,25.1%,7277,4.9%,1701,75.5%,3440,41.6%
O1-fcaller-saves,12625,63.0%,7183,49.8%,1778,91.1%,3451,75.0%
O1-fcode-hoisting,12533,56.5%,7338,46.1%,1725,89.0%,3273,61.2%
O1-fcrossjumping,12574,57.8%,7251,47.7%,1790,90.9%,3369,61.0%
O1-fcse-follow-jumps,12659,58.0%,7324,47.7%,1804,89.3%,3328,62.5%
O1-fdevirtualize,12613,25.1%,7277,4.9%,1701,75.5%,3440,41.6%
O1-fdevirtualize-speculatively,12488,26.1%,7259,5.1%,1641,80.3%,3406,43.2%
O1-fexpensive-optimizations,12505,57.4%,7332,46.8%,1676,89.4%,3302,63.6%
O1-fgcse,12422,62.6%,7096,51.3%,1799,90.4%,3312,70.4%
O1-fhoist-adjacent-loads,12569,45.6%,7327,33.0%,1746,84.0%,3299,52.1%
O1-findirect-inlining,12565,28.8%,7274,7.8%,1704,82.3%,3382,45.1%
O1-finline-small-functions,12357,58.0%,6847,46.2%,1768,90.2%,3558,63.7%
O1-fipa-bit-cp,12613,39.5%,7279,26.1%,1747,77.9%,3383,47.3%
O1-fipa-cp,12756,54.2%,7358,42.2%,1817,89.4%,3382,60.1%
O1-fipa-icf,12601,43.0%,7304,30.2%,1731,80.5%,3377,50.8%
O1-fipa-icf-functions,12706,43.3%,7306,30.2%,1773,79.9%,3420,51.2%
O1-fipa-icf-variables,12581,25.5%,7314,5.4%,1697,77.5%,3372,41.2%
O1-fipa-ra,12727,47.6%,7303,36.5%,1763,80.5%,3466,53.4%
O1-fipa-sra,12503,53.3%,7336,42.5%,1688,89.1%,3298,57.8%
O1-fipa-vrp,12703,25.0%,7288,4.9%,1750,73.9%,3478,41.5%
O1-fisolate-erroneous-paths-dereference,12757,43.2%,7316,27.7%,1661,82.9%,3580,55.0%
O1-flra-remat,12593,43.4%,7251,32.9%,1794,75.2%,3357,48.5%
O1-foptimize-sibling-calls,12633,56.4%,7229,44.0%,1832,89.6%,3381,63.0%
O1-foptimize-strlen,12695,56.2%,7305,44.6%,1846,90.2%,3322,61.3%
O1-fpartial-inlining,12810,55.6%,7246,43.3%,1928,90.4%,3417,60.3%
O1-fpeephole2,13075,64.2%,7847,59.3%,1587,89.5%,3473,63.2%
O1-freorder-blocks-and-partition,12489,26.1%,7259,5.1%,1641,80.3%,3407,43.3%
O1-freorder-functions,12806,51.2%,7295,39.6%,1747,84.1%,3575,58.1%
O1-frerun-cse-after-loop,12783,55.3%,7392,44.4%,1703,87.8%,3479,61.4%
O1-fschedule-insns2,12299,56.8%,7152,45.5%,1765,81.5%,3201,68.2%
O1-fstore-merging,12833,53.7%,7397,42.7%,1811,86.9%,3425,58.5%
O1-fstrict-aliasing,12794,54.9%,7355,43.9%,1709,87.9%,3518,60.6%
O1-fstrict-overflow,12625,57.6%,7302,47.2%,1794,89.9%,3327,61.5%
O1-fthread-jumps,12593,43.3%,7295,31.4%,1762,77.9%,3350,50.0%
O1-ftree-pre,12631,61.3%,7231,51.0%,1814,92.1%,3389,65.7%
O1-ftree-switch-conversion,12820,51.4%,7301,37.5%,1805,89.6%,3506,59.3%
O1-ftree-tail-merge,12579,25.5%,7314,5.4%,1689,77.4%,3379,41.3%
O1-ftree-vrp,12732,58.8%,7277,48.0%,1804,90.1%,3448,63.9%
