Special Purpose Gadget Introduction Data
Package Variant,Syscall Gadgets,Syscall Gadget Introduction Rate,JOP Dispatcher Gadgets,JOP Dispatcher Gadget Introduction Rate,JOP Dataloader Gadgets,JOP Dataloader Gadget Introduction Rate,JOP Initializer Gadgets,JOP Initializer Gadget Introduction Rate,JOP Trampoline Gadgets,JOP Trampoline Gadget Introduction Rate,COP Dispatcher Gadgets,COP Dispatcher Gadget Introduction Rate,COP Dataloader Gadgets,COP Dataloader Gadget Introduction Rate,COP Initializer Gadgets,COP Initializer Gadget Introduction Rate,COP Strong Trampoline Gadgets,COP Strong Trampoline Gadget Introduction Rate,COP Intra-stack Pivot Gadgets,COP Intra-stack Pivot Gadget Introduction Rate
O1,12, ,25, ,50, ,0, ,3, ,30, ,47, ,0, ,0, ,37
O1-falign-labels,12,16.7%,19,73.7%,42,71.4%,0,0.0%,2,100.0%,40,60.0%,41,53.7%,0,0.0%,0,0.0%,39,7.7%
O1-fcaller-saves,17,58.8%,25,100.0%,44,97.7%,0,0.0%,4,100.0%,34,100.0%,45,97.8%,0,0.0%,0,0.0%,44,27.3%
O1-fcode-hoisting,8,37.5%,28,92.9%,40,95.0%,0,0.0%,4,100.0%,30,100.0%,51,90.2%,0,0.0%,0,0.0%,36,11.1%
O1-fcrossjumping,13,46.2%,27,100.0%,32,96.9%,0,0.0%,4,100.0%,31,100.0%,20,95.0%,0,0.0%,0,0.0%,37,13.5%
O1-fcse-follow-jumps,12,50.0%,21,95.2%,40,97.5%,0,0.0%,3,100.0%,28,100.0%,61,93.4%,0,0.0%,0,0.0%,38,15.8%
O1-fdevirtualize,12,16.7%,19,73.7%,42,71.4%,0,0.0%,2,100.0%,40,60.0%,41,53.7%,0,0.0%,0,0.0%,39,7.7%
O1-fdevirtualize-speculatively,10,0.0%,23,82.6%,30,86.7%,0,0.0%,2,100.0%,33,60.6%,47,68.1%,0,0.0%,0,0.0%,37,5.4%
O1-fexpensive-optimizations,9,11.1%,17,100.0%,36,88.9%,0,0.0%,4,100.0%,37,100.0%,52,92.3%,0,0.0%,0,0.0%,40,20.0%
O1-fgcse,21,61.9%,30,96.7%,27,96.3%,0,0.0%,3,100.0%,39,97.4%,54,94.4%,0,0.0%,0,0.0%,41,22.0%
O1-fhoist-adjacent-loads,19,52.6%,26,84.6%,39,87.2%,0,0.0%,2,100.0%,24,79.2%,51,82.4%,0,0.0%,0,0.0%,36,5.6%
O1-findirect-inlining,9,0.0%,28,78.6%,39,84.6%,0,0.0%,7,100.0%,37,62.2%,49,67.3%,0,0.0%,0,0.0%,36,5.6%
O1-finline-small-functions,16,56.2%,25,100.0%,23,87.0%,0,0.0%,7,100.0%,26,100.0%,51,94.1%,0,0.0%,0,0.0%,36,11.1%
O1-fipa-bit-cp,10,20.0%,27,81.5%,49,77.6%,0,0.0%,3,100.0%,31,71.0%,46,69.6%,0,0.0%,0,0.0%,38,5.3%
O1-fipa-cp,18,50.0%,22,90.9%,40,92.5%,0,0.0%,4,100.0%,29,100.0%,48,91.7%,0,0.0%,0,0.0%,38,15.8%
O1-fipa-icf,12,25.0%,20,70.0%,30,70.0%,0,0.0%,1,100.0%,37,73.0%,51,70.6%,0,0.0%,0,0.0%,38,10.5%
O1-fipa-icf-functions,12,25.0%,20,75.0%,43,83.7%,0,0.0%,3,100.0%,34,70.6%,56,75.0%,0,0.0%,0,0.0%,39,10.3%
O1-fipa-icf-variables,10,0.0%,20,75.0%,39,74.4%,0,0.0%,0,0.0%,35,57.1%,55,70.9%,0,0.0%,0,0.0%,39,10.3%
O1-fipa-ra,9,11.1%,21,85.7%,43,69.8%,0,0.0%,0,0.0%,32,81.2%,52,75.0%,0,0.0%,0,0.0%,38,13.2%
O1-fipa-sra,6,0.0%,23,100.0%,39,94.9%,0,0.0%,4,100.0%,25,92.0%,45,86.7%,0,0.0%,0,0.0%,39,15.4%
O1-fipa-vrp,10,0.0%,18,72.2%,45,71.1%,0,0.0%,0,0.0%,36,55.6%,40,50.0%,0,0.0%,0,0.0%,38,5.3%
O1-fisolate-erroneous-paths-dereference,10,10.0%,30,86.7%,39,89.7%,0,0.0%,2,100.0%,37,86.5%,45,80.0%,0,0.0%,0,0.0%,37,8.1%
O1-flra-remat,13,38.5%,24,75.0%,46,69.6%,0,0.0%,0,0.0%,33,78.8%,38,57.9%,0,0.0%,0,0.0%,37,2.7%
O1-foptimize-sibling-calls,12,33.3%,23,100.0%,52,98.1%,0,0.0%,6,100.0%,28,100.0%,55,94.5%,0,0.0%,0,0.0%,15,80.0%
O1-foptimize-strlen,28,64.3%,31,100.0%,37,97.3%,0,0.0%,5,100.0%,30,100.0%,52,96.2%,0,0.0%,0,0.0%,39,17.9%
O1-fpartial-inlining,12,50.0%,34,100.0%,46,97.8%,0,0.0%,2,100.0%,35,97.1%,50,98.0%,0,0.0%,0,0.0%,40,20.0%
O1-fpeephole2,20,90.0%,23,100.0%,22,95.5%,0,0.0%,2,100.0%,29,100.0%,38,97.4%,0,0.0%,0,0.0%,34,5.9%
O1-freorder-blocks-and-partition,10,0.0%,23,82.6%,30,86.7%,0,0.0%,2,100.0%,33,60.6%,47,68.1%,0,0.0%,0,0.0%,37,5.4%
O1-freorder-functions,16,50.0%,19,78.9%,36,75.0%,0,0.0%,5,100.0%,29,96.6%,43,83.7%,0,0.0%,0,0.0%,41,22.0%
O1-frerun-cse-after-loop,9,22.2%,30,93.3%,43,93.0%,0,0.0%,5,100.0%,36,97.2%,45,88.9%,0,0.0%,0,0.0%,41,22.0%
O1-fschedule-insns2,8,37.5%,22,77.3%,43,81.4%,0,0.0%,2,100.0%,26,80.8%,44,72.7%,0,0.0%,0,0.0%,36,13.9%
O1-fstore-merging,13,38.5%,27,92.6%,38,86.8%,0,0.0%,5,100.0%,36,94.4%,45,91.1%,0,0.0%,0,0.0%,36,11.1%
O1-fstrict-aliasing,11,27.3%,30,93.3%,47,93.6%,0,0.0%,4,100.0%,34,100.0%,46,89.1%,0,0.0%,0,0.0%,40,20.0%
O1-fstrict-overflow,13,46.2%,28,100.0%,38,97.4%,0,0.0%,7,100.0%,33,100.0%,41,97.6%,0,0.0%,0,0.0%,42,23.8%
O1-fthread-jumps,12,16.7%,20,80.0%,35,71.4%,0,0.0%,3,100.0%,40,82.5%,38,68.4%,0,0.0%,0,0.0%,38,5.3%
O1-ftree-pre,10,20.0%,23,100.0%,33,97.0%,0,0.0%,6,100.0%,27,100.0%,56,98.2%,0,0.0%,0,0.0%,42,23.8%
O1-ftree-switch-conversion,13,30.8%,21,95.2%,43,95.3%,0,0.0%,6,100.0%,34,97.1%,48,91.7%,0,0.0%,0,0.0%,43,23.3%
O1-ftree-tail-merge,10,0.0%,19,73.7%,39,74.4%,0,0.0%,0,0.0%,35,57.1%,55,70.9%,0,0.0%,0,0.0%,39,10.3%
O1-ftree-vrp,6,0.0%,25,100.0%,43,93.0%,0,0.0%,3,100.0%,31,100.0%,49,98.0%,0,0.0%,0,0.0%,46,30.4%
