Package Variant,Practical ROP Exploit,ASLR-Proof Practical ROP Exploit,Simple Turing Completeness
O0,7 of 11,25 of 35,8 of 17
O0_fomit_frame_pointer,7 (0),24 (1),9 (-1)
O0_fshrink_wrap,7 (0),25 (0),8 (0)
